y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25
0.075,0.1,0.16875,0.18125,0.23125,0.19375,0.146875,0.175,0.09375,0.184375,0.121875,0.14375,0.140625,0.159375,0.18125,0.25,0.15,0.146875,0.178125,0.225,0.146875,0.23125,0.11875,0.278125,0.134375,0.2
0.215625,0.265625,0.2625,0.23125,0.2375,0.196875,0.21875,0.30625,0.278125,0.26875,0.2625,0.221875,0.253125,0.29375,0.209375,0.265625,0.209375,0.16875,0.221875,0.275,0.146875,0.21875,0.184375,0.28125,0.21875,0.19375
0.203125,0.265625,0.253125,0.2375,0.35,0.28125,0.29375,0.25,0.253125,0.271875,0.303125,0.290625,0.296875,0.315625,0.221875,0.228125,0.228125,0.265625,0.284375,0.328125,0.315625,0.3125,0.284375,0.321875,0.290625,0.34375
0.315625,0.21875,0.271875,0.278125,0.290625,0.26875,0.425,0.30625,0.396875,0.340625,0.315625,0.284375,0.26875,0.271875,0.296875,0.259375,0.284375,0.315625,0.290625,0.246875,0.44375,0.315625,0.3375,0.275,0.403125,0.290625
0.334375,0.29375,0.290625,0.396875,0.2875,0.25625,0.328125,0.296875,0.271875,0.275,0.3125,0.2875,0.26875,0.303125,0.284375,0.259375,0.240625,0.759375,0.353125,0.309375,0.321875,0.315625,0.325,0.290625,0.390625,0.296875
0.34375,0.275,0.3375,0.321875,0.303125,0.271875,0.334375,0.471875,0.321875,0.328125,0.346875,0.290625,0.353125,0.309375,0.278125,0.3,0.2875,0.321875,0.2625,0.321875,0.371875,0.39375,0.31875,0.265625,0.378125,0.3375
0.325,0.303125,0.278125,0.334375,0.340625,0.3125,0.30625,0.425,0.371875,0.321875,0.334375,0.2875,0.31875,0.309375,0.3,0.290625,0.29375,0.36875,0.384375,0.3625,0.325,0.378125,0.384375,0.278125,0.371875,0.340625
0.371875,0.334375,0.38125,0.378125,0.33125,0.340625,0.403125,0.45,0.325,0.315625,0.34375,0.3625,0.35,0.30625,0.31875,0.540625,0.33125,0.3625,0.33125,0.35625,0.35625,0.35,0.38125,0.334375,0.346875,0.284375
0.425,0.4125,0.31875,0.4125,0.359375,0.359375,0.3625,0.475,0.325,0.3875,0.359375,0.3375,0.475,0.365625,0.315625,0.334375,0.321875,0.33125,0.471875,0.334375,0.325,0.390625,0.40625,0.3375,0.475,0.35625
0.38125,0.40625,0.3125,0.440625,0.39375,0.3625,0.375,0.64375,0.43125,0.45625,0.403125,0.3625,0.35625,0.45,0.3375,0.35,0.365625,0.45625,0.865625,0.396875,0.3625,0.328125,0.36875,0.340625,0.5375,0.303125
0.471875,0.396875,0.375,0.4375,0.309375,0.38125,0.346875,0.54375,0.3875,0.396875,0.4375,0.29375,0.384375,0.490625,0.36875,0.45625,0.421875,0.434375,0.3375,0.3875,0.35,0.490625,0.440625,0.30625,0.49375,0.475
0.55625,0.390625,0.634375,0.45625,0.384375,0.48125,0.409375,0.55625,0.378125,0.45,0.375,0.31875,0.378125,0.365625,0.41875,0.425,0.371875,0.378125,0.3875,0.34375,0.334375,0.425,0.5125,0.38125,0.4875,0.596875
0.575,0.403125,0.35,0.459375,0.440625,0.425,0.4,0.55625,0.40625,0.409375,0.603125,0.375,0.4,0.44375,0.41875,0.403125,0.359375,0.43125,0.425,0.646875,0.35625,0.3875,0.384375,0.415625,0.503125,0.4375
0.615625,0.359375,0.43125,0.515625,0.340625,0.61875,0.428125,0.65625,0.434375,0.428125,0.565625,0.465625,0.3875,0.384375,0.53125,0.48125,0.35,0.571875,0.41875,0.5125,0.359375,0.49375,0.43125,0.334375,0.496875,0.371875
0.571875,0.3875,0.434375,0.525,0.384375,0.525,0.425,0.5875,0.375,0.365625,0.4,0.403125,0.44375,0.6,0.515625,0.50625,0.475,0.5625,0.403125,0.540625,0.35625,0.4125,0.63125,0.38125,0.4875,0.4375
0.6125,0.43125,0.525,0.534375,0.415625,0.521875,0.484375,0.61875,0.540625,0.365625,0.6875,0.428125,0.415625,0.41875,0.565625,0.4625,0.365625,0.5625,0.640625,0.678125,0.4,0.49375,0.546875,0.353125,0.615625,0.4375
0.590625,0.359375,0.5125,0.521875,0.459375,0.45,0.471875,0.678125,0.503125,0.509375,0.490625,0.43125,0.4125,0.446875,0.64375,0.4625,0.484375,0.50625,0.4125,0.60625,0.44375,0.53125,1.271875,0.384375,0.6875,0.49375
0.59375,0.421875,0.56875,0.6375,0.4875,0.4375,0.471875,0.646875,0.525,0.3625,0.540625,0.375,0.496875,0.5875,0.65625,0.58125,0.375,0.634375,0.665625,0.840625,0.4,0.671875,0.4875,0.571875,0.728125,0.590625
0.603125,0.428125,0.615625,0.61875,0.5375,0.50625,0.490625,0.728125,0.584375,0.384375,0.58125,0.35625,0.478125,0.46875,0.80625,0.534375,0.56875,0.646875,0.621875,0.653125,0.4,0.540625,0.484375,0.415625,0.628125,0.609375
0.696875,0.3875,0.55625,0.590625,0.565625,0.48125,0.615625,0.68125,0.803125,0.396875,0.615625,0.440625,0.609375,0.55,0.6125,0.50625,0.434375,0.628125,0.559375,1.021875,0.40625,0.6375,0.621875,0.65,0.6625,0.603125
0.6625,0.484375,0.559375,0.70625,0.540625,0.471875,0.4375,0.690625,1.371875,0.39375,0.853125,0.41875,0.496875,0.665625,0.5625,0.4875,0.43125,0.6625,0.596875,1.034375,0.440625,0.56875,0.6,0.715625,0.7125,0.659375
0.634375,0.459375,0.615625,0.628125,0.53125,0.490625,0.53125,0.690625,0.903125,0.384375,1.15625,0.546875,0.45625,0.603125,0.671875,0.49375,0.49375,0.6625,0.771875,0.678125,0.546875,0.646875,0.56875,0.559375,0.853125,0.925
0.715625,0.521875,0.59375,0.75,0.63125,0.571875,0.640625,0.728125,0.68125,0.415625,0.684375,0.490625,0.478125,0.640625,0.6125,0.6,0.459375,0.73125,0.696875,0.684375,0.453125,1.309375,0.55,0.6125,1.171875,0.7375
0.671875,0.69375,0.584375,0.66875,0.578125,0.590625,0.55,0.715625,1.04375,0.396875,0.684375,0.625,0.496875,0.696875,0.640625,0.665625,0.403125,0.7375,1.13125,0.775,0.46875,1.203125,0.615625,0.68125,0.696875,0.7375
0.6875,0.546875,0.6625,0.675,0.59375,0.615625,0.621875,0.671875,0.821875,0.41875,0.73125,0.44375,0.60625,0.759375,0.728125,0.9125,0.515625,0.70625,0.690625,0.73125,0.54375,0.821875,0.6,0.609375,1.175,0.753125
0.65625,0.55,0.678125,0.715625,0.565625,0.5625,0.596875,0.678125,0.903125,0.740625,0.746875,0.46875,0.525,0.6875,0.703125,0.575,0.621875,0.73125,1.040625,0.78125,0.571875,0.796875,0.590625,0.684375,0.934375,0.8375
0.715625,0.6375,0.596875,0.709375,0.615625,0.646875,0.578125,0.721875,0.7,0.4875,0.79375,0.503125,0.5,0.665625,2.4125,0.625,0.61875,0.709375,0.696875,2.73125,0.6125,1.13125,0.590625,0.65625,1.278125,0.81875
0.71875,0.6125,0.628125,0.8,0.63125,0.74375,0.628125,0.7625,0.73125,0.6,0.86875,0.590625,0.73125,0.70625,2.015625,1.334375,0.865625,0.796875,0.73125,1.35,0.621875,0.884375,0.696875,0.696875,2.99375,0.725
0.740625,0.671875,0.628125,0.71875,0.603125,0.628125,0.6125,0.74375,0.75,0.521875,2.571875,0.503125,0.71875,0.878125,2.26875,1.76875,0.628125,0.7125,0.740625,0.78125,0.609375,1.990625,0.6625,0.715625,0.75625,0.74375
0.69375,0.625,0.6875,0.7625,0.678125,0.58125,0.6875,0.7125,0.746875,0.7875,0.784375,0.621875,0.715625,0.73125,3.2,0.925,0.6375,0.771875,0.6875,2.9625,0.65625,1.409375,0.746875,0.678125,1.375,1.0625
0.7625,0.628125,0.746875,0.815625,0.625,0.653125,0.628125,0.7625,0.734375,0.621875,0.684375,0.66875,0.665625,0.7375,2.740625,2.940625,0.63125,1.096875,0.721875,0.971875,0.615625,1.96875,0.690625,1.15625,1.525,3.653125
0.725,0.675,0.690625,0.696875,0.653125,0.609375,0.7,0.7125,0.921875,0.865625,0.740625,0.6875,0.659375,0.79375,2.6125,3.046875,0.640625,0.803125,0.75625,3.15625,0.653125,1.271875,0.646875,0.753125,2.115625,3.45625
