y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74
0.315625,0.128125,0.215625,0.1375,0.203125,0.1625,0.125,0.153125,0.146875,0.1875,0.196875,0.184375,0.096875,0.19375,0.20625,0.19375,0.24375,0.13125,0.253125,0.190625,0.23125,0.178125,0.103125,0.20625,0.153125,0.146875,0.178125,0.15625,0.30625,0.225,0.140625,0.2625,0.196875,0.171875,0.146875,0.14375,0.165625,0.175,0.115625,0.165625,0.1375,0.121875,0.159375,0.1875,0.165625,0.1625,0.128125,0.184375,0.175,0.14375,0.271875,0.1875,0.165625,0.1875,0.146875,0.196875,0.184375,0.2125,0.18125,0.271875,0.13125,0.290625,0.290625,0.203125,0.190625,0.28125,0.2,0.225,0.121875,0.190625,0.265625,0.115625,0.20625,0.171875,0.196875
0.18125,0.20625,0.3,0.21875,0.23125,0.290625,0.259375,0.29375,0.18125,0.21875,0.26875,0.225,0.21875,0.225,0.190625,0.21875,0.259375,0.26875,0.21875,0.25,0.2125,0.228125,0.21875,0.175,0.1875,0.2375,0.275,0.19375,0.2625,0.28125,0.225,0.284375,0.228125,0.209375,0.178125,0.24375,0.14375,0.23125,0.26875,0.271875,0.2375,0.1875,0.196875,0.234375,0.315625,0.303125,0.2125,0.234375,0.240625,0.2375,0.296875,0.3,0.240625,0.221875,0.175,0.346875,0.28125,0.1875,0.240625,0.265625,0.2625,0.19375,0.234375,0.275,0.184375,0.225,0.209375,0.209375,0.21875,0.196875,0.1375,0.190625,0.221875,0.2875,0.215625
0.3625,0.328125,0.3,0.2625,0.271875,0.178125,0.3,0.25,0.2625,0.2625,0.259375,0.271875,0.2375,0.346875,0.209375,0.2875,0.3,0.246875,0.290625,0.340625,0.225,0.3,0.225,0.315625,0.21875,0.265625,0.24375,0.259375,0.284375,0.240625,0.234375,0.259375,0.203125,0.328125,0.275,0.228125,0.240625,0.284375,0.378125,0.275,0.275,0.275,0.275,0.25,0.30625,0.3125,0.29375,0.23125,0.303125,0.296875,0.275,0.25625,0.2125,0.24375,0.303125,0.2875,0.234375,0.196875,0.3125,0.25,0.246875,0.253125,0.284375,0.284375,0.240625,0.23125,0.246875,0.240625,0.23125,0.253125,0.209375,0.25,0.275,0.25625,0.240625
0.303125,0.265625,0.3125,0.26875,0.3125,0.28125,0.34375,0.259375,0.359375,0.265625,0.315625,0.296875,0.228125,0.2875,0.2125,0.271875,0.30625,0.240625,0.275,0.35625,0.215625,0.334375,0.340625,0.25625,0.34375,0.290625,0.265625,0.3,0.36875,0.284375,0.334375,0.309375,0.25625,0.303125,0.278125,0.284375,0.2625,0.278125,0.421875,0.3,0.278125,0.321875,0.265625,0.275,0.34375,0.278125,0.271875,0.278125,0.253125,0.309375,0.3625,0.3,0.290625,0.278125,0.275,0.328125,0.359375,0.246875,0.29375,0.278125,0.440625,0.26875,0.24375,0.24375,0.33125,0.359375,0.290625,0.26875,0.33125,0.2625,0.30625,0.265625,0.315625,0.325,0.43125
0.30625,0.271875,0.321875,0.4125,0.271875,0.265625,0.275,0.30625,0.384375,0.28125,0.31875,0.328125,0.325,0.284375,0.296875,0.290625,0.35,0.296875,0.378125,0.303125,0.26875,0.284375,0.36875,0.25625,0.2875,0.384375,0.259375,0.303125,0.26875,0.359375,0.325,0.490625,0.315625,0.253125,0.315625,0.265625,0.2875,0.3125,0.46875,0.34375,0.284375,0.309375,0.315625,0.38125,0.28125,0.3375,0.334375,0.303125,0.34375,0.4,0.265625,0.325,0.421875,0.303125,0.334375,0.315625,0.271875,0.3,0.315625,0.3,0.315625,0.278125,0.515625,0.328125,0.321875,0.346875,0.2875,0.28125,0.271875,0.3125,0.35625,0.30625,0.296875,0.325,0.3125
0.3375,0.3125,0.334375,0.36875,0.321875,0.290625,0.325,0.28125,0.309375,0.4,0.3875,0.290625,0.38125,0.33125,0.30625,0.296875,0.353125,0.3,0.353125,0.321875,0.396875,0.30625,0.36875,0.29375,0.309375,0.29375,0.340625,0.3125,0.30625,0.303125,0.3,0.346875,0.259375,0.43125,0.35,0.334375,0.3,0.296875,0.478125,0.371875,0.278125,0.35,0.465625,0.315625,0.28125,0.440625,0.39375,0.309375,0.340625,0.328125,0.31875,0.325,0.353125,0.315625,0.315625,0.35,0.34375,0.30625,0.346875,0.4125,0.309375,0.309375,0.340625,0.3125,0.321875,0.31875,0.275,0.29375,0.290625,0.33125,0.346875,0.2875,0.309375,0.31875,0.325
0.509375,0.328125,0.4125,0.296875,0.29375,0.296875,0.30625,0.33125,0.315625,0.3375,0.36875,0.309375,0.3375,0.39375,0.26875,0.309375,0.31875,0.35,0.415625,0.3,0.315625,0.325,0.446875,0.30625,0.365625,0.340625,0.30625,0.34375,0.340625,0.346875,0.359375,0.328125,0.34375,0.303125,0.5,0.30625,0.321875,0.290625,0.496875,0.3375,0.30625,0.290625,0.409375,0.3125,0.309375,0.30625,0.325,0.290625,0.35,0.39375,0.321875,0.31875,0.31875,0.33125,0.31875,0.340625,0.31875,0.296875,0.3875,0.50625,0.315625,0.334375,0.4125,0.359375,0.278125,0.390625,0.3125,0.38125,0.328125,0.31875,0.334375,0.35,0.353125,0.325,0.346875
0.31875,0.31875,0.33125,0.325,0.371875,0.359375,0.309375,0.3125,0.328125,0.35,0.353125,0.290625,0.35625,0.34375,0.290625,0.315625,0.3625,0.29375,0.365625,0.309375,0.321875,0.34375,0.40625,0.309375,0.44375,0.396875,0.334375,0.328125,0.303125,0.378125,0.55625,0.43125,0.334375,0.3375,0.3625,0.503125,0.35,0.31875,0.58125,0.340625,0.421875,0.346875,0.39375,0.315625,0.29375,0.378125,0.353125,0.334375,0.4125,0.346875,0.35,0.328125,0.490625,0.33125,0.315625,0.38125,0.38125,0.328125,0.353125,0.3625,0.3125,0.35625,0.409375,0.4,0.3625,0.409375,0.296875,0.34375,0.334375,0.35,0.328125,0.321875,0.303125,0.334375,0.3875
0.31875,0.44375,0.403125,0.30625,0.3875,0.3125,0.334375,0.2875,0.315625,0.353125,0.3625,0.3375,0.365625,0.33125,0.28125,0.309375,0.33125,0.309375,0.328125,0.315625,0.353125,0.403125,0.36875,0.31875,0.415625,0.371875,0.26875,0.3875,0.325,0.321875,0.403125,0.45625,0.41875,0.365625,0.340625,0.325,0.346875,0.334375,0.59375,0.328125,0.334375,0.40625,0.3625,0.45,0.328125,0.359375,0.35625,0.359375,0.4375,0.378125,0.35,0.30625,0.30625,0.353125,0.35,0.3875,0.421875,0.41875,0.40625,0.36875,0.375,0.35625,0.35625,0.365625,0.2875,0.375,0.3375,0.315625,0.340625,0.35625,0.40625,0.34375,0.303125,0.39375,0.315625
0.35625,0.359375,0.375,0.415625,0.36875,0.3,0.353125,0.321875,0.296875,0.4,0.55,0.359375,0.353125,0.353125,0.3625,0.35625,0.353125,0.328125,0.340625,0.340625,0.375,0.33125,0.390625,0.315625,0.365625,0.296875,0.328125,0.465625,0.31875,0.359375,0.43125,0.33125,0.35,0.33125,0.36875,0.359375,0.371875,0.33125,0.634375,0.4,0.334375,0.415625,0.359375,0.38125,0.40625,0.44375,0.353125,0.321875,0.49375,0.5375,0.346875,0.35,0.321875,0.4125,0.359375,0.325,0.353125,0.390625,0.421875,0.534375,0.446875,0.4625,0.471875,0.46875,0.40625,0.425,0.378125,0.378125,0.35,0.415625,0.3375,0.315625,0.340625,0.390625,0.3125
