y0,y1,y2,y3,y4,y5,y6
0.900693,0.155403,0.539501,0.606815,0.89519,0.919018,0.55776
0.297055,0.652101,0.747556,0.33064,0.96073,0.371755,0.090875
0.454623,0.762547,0.781166,0.292787,0.942058,0.819507,0.317425
0.449556,0.864724,0.650362,0.740437,0.197607,0.372075,0.178055
0.502971,0.842658,0.98279,0.719276,0.778012,0.633027,0.294159
0.520475,0.271622,0.967599,0.324836,0.385884,0.430306,0.617389
0.641451,0.09098,0.742657,0.726703,0.355078,0.353342,0.122982
0.013752,0.992476,0.129944,0.179857,0.728129,0.292498,0.349576
0.766199,0.529702,0.228419,0.736071,0.197268,0.086706,0.147609
0.209471,0.854555,0.567674,0.104192,0.78716,0.520258,0.391087
0.979576,0.611828,0.756935,0.438709,0.942924,0.906274,0.896351
0.097713,0.234648,0.431307,0.940262,0.139798,0.976745,0.526051
0.649055,0.050295,0.886542,0.416255,0.9458,0.501824,0.373846
0.643325,0.8952,0.977798,0.709814,0.487192,0.10899,0.19861
0.087943,0.788013,0.608078,0.827962,0.184332,0.27826,0.67018
0.959065,0.915939,0.091624,0.313039,0.044916,0.435186,0.509876
0.247929,0.992989,0.66142,0.110286,0.167176,0.044563,0.686978
0.22233,0.029959,0.798327,0.492381,0.608081,0.8728,0.416892
0.080615,0.97914,0.824485,0.242688,0.648626,0.397523,0.254818
0.492451,0.503813,0.416403,0.991259,0.468569,0.33448,0.570186
0.619875,0.820696,0.93603,0.841426,0.808429,0.789993,0.480481
0.462945,0.594563,0.007403,0.178421,0.996557,0.491635,0.105021
0.058453,0.279938,0.690139,0.946518,0.425058,0.287468,0.654873
0.924973,0.696055,0.627719,0.911607,0.968957,0.603139,0.586883
0.37265,0.546892,0.934309,0.487465,0.708945,0.194276,0.707437
0.351827,0.034362,0.504639,0.309916,0.491791,0.962484,0.434992
0.734439,0.91759,0.030445,0.511423,0.364538,0.530018,0.123101
0.71515,0.296135,0.962189,0.073762,0.796615,0.026437,0.177473
0.567702,0.003897,0.492087,0.045889,0.372938,0.447041,0.35575
0.264013,0.891037,0.824695,0.435259,0.838635,0.01844,0.25513
0.388524,0.348236,0.86741,0.983506,0.419974,0.942499,0.56371
0.718718,0.584675,0.436704,0.088196,0.368813,0.346642,0.106962
0.692533,0.439359,0.088805,0.091375,0.332404,0.336075,0.379469
0.833637,0.47961,0.08779,0.822074,0.86978,0.15633,0.685821
0.538255,0.813433,0.5903,0.699919,0.323986,0.619389,0.524565
0.080875,0.074516,0.589589,0.403697,0.210869,0.447446,0.659212
0.017337,0.644517,0.041674,0.454139,0.059086,0.287049,0.132013
0.094439,0.952632,0.963579,0.830982,0.970875,0.880535,0.925843
0.324014,0.321673,0.604513,0.360503,0.600382,0.19128,0.111428
0.178528,0.031217,0.913169,0.841385,0.750654,0.220891,0.173036
0.008478,0.390287,0.583608,0.091887,0.862599,0.069619,0.832512
0.06893,0.219905,0.319214,0.583483,0.470792,0.825092,0.7876
0.393311,0.360744,0.74184,0.267412,0.534099,0.105934,0.73718
